THUMB_POS_X,THUMB_POS_Y,THUMB_POS_Z,INDEX_POS_X,INDEX_POS_Y,INDEX_POS_Z,MIDDLE_POS_X,MIDDLE_POS_Y,MIDDLE_POS_Z,RING_POS_X,RING_POS_Y,RING_POS_Z,PINKY_POS_X,PINKY_POS_Y,PINKY_POS_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.02833271,0.07897681,-0.01412195,-0.02163901,0.07269694,-0.03717721,-0.02916238,0.0845409,-0.02921188,-0.04119262,0.07457912,-0.02068827,-0.04198255,0.04818499,-0.01479289,16.82623,8.337788,10.48774,11.83843,ITALIAN
-0.02850936,0.0789398,-0.01425612,-0.02176876,0.0727407,-0.03718197,-0.02924415,0.08411784,-0.02953333,-0.04120664,0.07417226,-0.02093762,-0.04200156,0.04841003,-0.01448458,16.72737,8.084394,10.49872,11.62564,ITALIAN
-0.02850671,0.07885903,-0.01493639,-0.02178278,0.07254282,-0.03774157,-0.02909885,0.08364944,-0.03034753,-0.04109671,0.07357524,-0.02181295,-0.04192882,0.04853842,-0.0145691,16.65665,7.906264,10.54197,11.43387,ITALIAN
-0.02839142,0.07890464,-0.01508799,-0.02181596,0.07263274,-0.03784674,-0.02900722,0.08352119,-0.03053662,-0.04103325,0.07337008,-0.02203175,-0.04186498,0.04868788,-0.01439464,16.57744,7.796666,10.57185,11.33505,ITALIAN
-0.02834017,0.07902685,-0.0148541,-0.02208633,0.07278128,-0.03756294,-0.02912528,0.08352809,-0.0302304,-0.041121,0.07326677,-0.02173871,-0.04191173,0.04881552,-0.01387742,16.47154,7.724182,10.59117,11.28151,ITALIAN
-0.02875021,0.07999982,-0.01315367,-0.02389749,0.07423668,-0.03438435,-0.03057982,0.08379401,-0.02698022,-0.04231001,0.07252905,-0.01893553,-0.04260674,0.04936782,-0.01039499,15.1089,7.263365,10.69343,10.9718,ITALIAN
-0.02883548,0.08017306,-0.01355571,-0.02448415,0.07478094,-0.03386661,-0.03120932,0.08374256,-0.02654812,-0.04292237,0.07211055,-0.0186525,-0.04301083,0.04882568,-0.01000574,14.33431,7.082967,10.76509,11.09668,ITALIAN
-0.02868361,0.08036534,-0.01406962,-0.02470129,0.0753811,-0.03350073,-0.0314335,0.08397204,-0.0261552,-0.04323803,0.07202056,-0.0183728,-0.04323843,0.04832417,-0.009836942,13.60849,7.001098,10.86298,11.28617,ITALIAN
-0.02838116,0.08071689,-0.01425585,-0.02466245,0.07643685,-0.03258303,-0.03134166,0.0848265,-0.02496982,-0.04331187,0.0724514,-0.0172748,-0.04338526,0.04764324,-0.009447217,12.7027,7.021577,11.00033,11.72829,ITALIAN
-0.02821732,0.08090998,-0.01454243,-0.02460291,0.07714495,-0.03203963,-0.03122894,0.08548325,-0.02418184,-0.04331931,0.0727147,-0.01651165,-0.04353693,0.04684412,-0.009368569,12.04683,7.077786,11.1241,12.24796,ITALIAN
-0.02795739,0.08112168,-0.01486191,-0.024359,0.07793185,-0.03148066,-0.03096839,0.08616833,-0.02338922,-0.04323676,0.07276258,-0.01589185,-0.04364636,0.04588607,-0.009437054,11.3703,7.134269,11.31031,12.85028,ITALIAN
-0.02766638,0.08131543,-0.01506618,-0.02405719,0.07854365,-0.03102139,-0.03065366,0.08667617,-0.02278185,-0.04308509,0.0726161,-0.01551896,-0.04362584,0.0454928,-0.009251595,10.8727,7.162289,11.49752,13.10467,ITALIAN
